click_id,timestamp,user_id,ip_address,device_type,browser,operating_system,referrer_url,page_url,click_duration,scroll_depth,mouse_movement,keystrokes_detected,ad_position,click_frequency,time_since_last_click,device_ip_reputation,VPN_usage,proxy_usage,bot_likelihood_score,is_fraudulent
d875835d-3a4a-4a20-b0d1-6cddf89afc6a,23-08-2024 02:47,65a2f621-707b-49be-9c3e-ccac0b1d89ef,141.36.49.37,Tablet,Safari,Android,https://evans-ford.com/,http://www.turner-stewart.com/,0.29,60,111,8,Bottom,7,72,Good,0,1,0.29,0
a2d3f028-7790-4be1-9f75-df1357edbbdb,30-01-2025 23:23,135e0114-76c5-43ea-bdef-80ab537dc009,216.29.19.201,Desktop,Opera,iOS,https://pierce-ferguson.net/,http://www.rodriguez.biz/,0.64,25,452,29,Bottom,9,201,Suspicious,0,0,0.74,0
36d787b2-fbce-43ef-8c02-7c8746d7e3db,21-01-2025 05:41,a6922984-78cb-4c01-9c88-bfe3a13a0aaf,167.133.41.231,Tablet,Safari,Linux,https://www.martinez.com/,https://beck.biz/,0.42,36,431,18,Bottom,9,326,Good,0,1,0.14,0
01fc0078-096b-4f90-82ae-aa8085b719ac,12-10-2024 08:18,d30788b2-4048-4770-a4b1-a9358788818f,216.146.33.78,Tablet,Edge,macOS,https://jones-mendoza.com/,https://www.alvarado.com/,4.29,29,472,37,Side,4,33,Suspicious,0,0,0.65,0
0afdf2af-0b48-47d5-bfb6-e087053e1eb9,19-04-2024 14:44,dfc42287-6325-4344-b373-b8e61ea6e5c1,146.37.54.245,Desktop,Opera,Windows,https://www.griffith-holloway.com/,http://gonzalez.com/,2.46,94,50,2,Side,7,97,Good,0,0,0.06,0
2227ac87-ac93-4b5d-9e79-01b606cfdd56,29-09-2024 16:02,56fcc163-08e9-4c1b-ad51-04cd1d1c42a7,56.111.150.239,Desktop,Safari,iOS,http://welch.com/,http://www.meyers-mckenzie.biz/,4.06,96,481,49,Side,6,557,Good,0,0,0.33,0
a8a187f8-186a-4e50-b50b-b0da9daebadd,19-03-2024 01:44,92ac6feb-7506-4a80-92f2-97299de012dc,103.139.41.163,Tablet,Edge,Android,http://www.figueroa.com/,https://www.barnes-bautista.net/,0.97,10,366,47,Bottom,3,263,Good,0,0,0.98,1
1bf9d635-e119-4e9b-b147-1faaa8430d05,19-02-2024 15:26,3040146d-ac37-4de6-b3f1-5994cb01c5d7,15.163.69.112,Mobile,Chrome,macOS,https://leonard-parker.biz/,http://www.johnson-diaz.com/,0.75,52,387,2,Top,6,70,Good,1,0,0.12,0
e5fc8ded-a4b7-4ff9-a1da-604f08eba56a,20-01-2025 23:17,e81aaafd-7857-49a6-8ad5-a3b5ab77f5a3,33.170.233.207,Tablet,Edge,Windows,https://www.estrada.com/,http://www.bennett.org/,0.96,40,97,33,Bottom,8,293,Good,1,0,0.6,0
dab35bba-dcbc-4f6c-aeb6-692be88b2d69,27-03-2024 10:29,f2705306-6b2a-4750-8eb0-ad9ff503c950,171.26.56.226,Tablet,Opera,Linux,https://www.vance-christensen.biz/,https://howard-johnson.info/,0.04,4,410,1,Bottom,2,207,Good,0,1,0.07,0
c80f6e4e-716f-41d5-9388-d27006022ed8,31-12-2024 14:01,144967c8-2138-4ffa-a555-c17a044857d7,112.36.199.46,Tablet,Firefox,macOS,http://www.watkins-wall.com/,http://avila.com/,2.58,65,374,26,Side,3,172,Good,0,0,0.67,0
82e1b823-33ef-4ade-b82a-d43f4095b190,07-01-2025 07:46,3f932ae1-3bdd-488c-afc4-580ac1903cab,135.102.179.172,Tablet,Chrome,macOS,http://www.fischer-smith.com/,http://www.velasquez.com/,0.86,12,169,22,Top,8,395,Good,0,1,0.28,0
0cabe3e1-e2e3-4ddb-8655-b74159e92926,06-12-2024 10:24,45648cf2-e72f-45c0-ba25-38c7527621c2,202.48.0.79,Desktop,Safari,iOS,http://www.price-kemp.net/,https://valenzuela.com/,0.75,62,55,41,Side,4,256,Good,0,1,0.31,0
225b1358-17bd-4aa8-880a-53553c717dac,05-11-2024 19:54,da635778-9ae4-4169-8a24-d1bc50b954a8,16.189.253.202,Tablet,Opera,Windows,https://www.reynolds.com/,http://becker-hardin.biz/,1.82,81,220,31,Top,4,264,Good,0,0,0.34,0
f9702456-aa8a-4ff7-9fe9-3b4e4b97a324,23-02-2024 01:18,fec32b3e-5604-4906-b3a2-3718af40598f,57.68.183.24,Mobile,Firefox,iOS,https://lucas.net/,https://www.pena-torres.com/,1.15,89,324,46,Bottom,2,264,Good,0,1,0.21,0
69920067-6c9e-436f-87a3-6e7b3b423b4d,04-07-2024 22:34,8b7d56b2-ec1a-4ddb-97e3-7c1fde5a4f7b,199.254.167.163,Desktop,Edge,iOS,https://www.howard.com/,http://nelson.org/,7.91,24,145,34,Bottom,1,517,Good,0,0,0.94,1
3b6b76ae-799f-4409-b606-d3412daca2e1,29-11-2024 08:02,1a590a0c-4bd9-46cc-b679-94cf5f37c14d,37.92.203.25,Mobile,Firefox,Android,https://love-hampton.org/,http://www.peterson.com/,0.88,43,444,39,Bottom,7,10,Good,0,0,0.91,1
18ffe5c9-e29d-40a8-bf6b-a2e3033bd906,29-03-2024 21:33,a6f17077-101a-4148-ac07-7cd4c864bc0c,131.164.120.40,Mobile,Opera,Linux,https://www.schwartz.com/,http://gibson.com/,1.9,13,259,17,Top,4,271,Good,0,1,0.87,1
a078adda-16fd-42f2-8e27-68beae65616b,06-10-2024 08:24,cc468de5-a121-4be8-8157-e3b09edfaa86,154.32.43.195,Mobile,Opera,macOS,https://elliott.com/,https://www.morales-osborne.net/,0.75,68,128,26,Side,6,312,Good,0,0,0.11,0
a5d99b06-3fb7-4ede-bd96-00522263d683,18-07-2024 00:18,92910a81-5db0-4ce3-8617-09282a059262,74.97.151.213,Mobile,Firefox,Windows,http://www.jones.com/,https://www.gonzalez.com/,9.33,58,49,10,Side,8,370,Good,0,0,0.23,0
4545f68b-033f-4c94-8ce8-0def145ffc36,12-09-2024 07:36,66c269ac-0561-4d38-a6de-f30820982081,16.175.70.174,Desktop,Edge,Linux,http://alvarez.org/,http://www.smith.com/,1.18,55,339,38,Side,7,567,Good,0,0,0.61,0
3aca1aa0-b231-4ec9-a0b8-6b8bfd7b107d,14-09-2024 14:53,74a40c09-71b7-4514-8a7d-0a200a6f1c13,223.30.67.50,Desktop,Firefox,Linux,https://ortiz.com/,https://jones.com/,2.01,51,325,18,Top,7,553,Good,1,0,0.97,1
89f41233-4f7f-4940-9aff-e9790f2660a7,29-09-2024 15:30,74a06fc7-4b9d-4330-be8a-110cc409362b,32.40.246.47,Mobile,Opera,Windows,http://simon-kim.com/,https://dickerson.com/,0.27,65,403,24,Top,6,391,Good,0,0,0.6,0
f6f5e2c7-6eb5-49d7-81c3-04119d0426b7,30-01-2025 23:34,5f42acd0-38d0-477b-a76e-84d815d229f8,160.156.96.183,Mobile,Opera,Linux,https://johnson-brown.com/,https://www.hansen.com/,2.64,67,19,6,Bottom,4,115,Good,1,0,0.33,0
61523c22-22ca-4fcf-a603-37d8c4c18827,29-08-2024 09:35,f89d7246-456f-4921-bfa0-e52f27af3d4f,75.201.116.220,Desktop,Safari,Android,https://www.young-reynolds.com/,http://duran.com/,0.63,11,173,30,Side,4,575,Good,0,0,0.82,1
0877f745-f2a9-4280-8402-73500906222f,24-03-2024 07:21,87308439-78d1-4ff6-884b-8c268c6715dc,21.178.60.85,Desktop,Safari,Linux,http://lopez.biz/,https://www.wallace.biz/,1.19,74,282,1,Top,9,344,Good,0,1,0.14,0
37850518-5c8c-47d3-8482-edcf33692f0d,25-01-2025 11:40,6a5d308f-1b62-4b7c-9208-03f8c2850fa6,60.20.166.144,Desktop,Chrome,Android,https://bean.com/,https://cummings.biz/,4.29,67,25,37,Side,5,410,Good,0,1,0.88,1
3ad4c852-4e93-4722-9326-5a2d28cb7076,12-07-2024 19:01,bb535abe-1ab6-425a-b13f-4def37f42dd6,45.152.58.75,Tablet,Opera,macOS,http://jones.com/,https://www.jordan.org/,7.05,42,159,4,Side,9,546,Good,0,0,0.97,1
e9ef35dd-7805-4c01-ad96-ab248df749f4,24-04-2024 03:57,641cc2e8-7bcc-40e1-882c-f4f4f1d896fd,123.168.203.47,Tablet,Safari,macOS,http://www.sanchez.net/,http://www.dalton.com/,1.11,72,9,13,Top,9,378,Good,0,0,0.97,1
c0c74640-c6fa-4b3c-92d2-a4879e35bfa1,23-07-2024 13:11,a94c85ac-2f7d-4eab-b212-3142cc2fe27c,2.63.139.35,Tablet,Firefox,iOS,http://haney.com/,http://oliver.biz/,3.6,73,81,17,Top,4,456,Good,1,0,0.15,0
802e92cc-b0d5-4869-b4d7-118c1e8ce2c6,29-07-2024 10:25,fcf30b42-da37-40fd-bddf-e9100805ec05,102.69.84.101,Mobile,Edge,Android,http://www.chavez.com/,http://kim-parker.info/,0.11,90,255,35,Bottom,2,423,Suspicious,0,1,0.55,0
80f5557f-d590-4329-957c-2fe4a118b027,07-05-2024 12:33,56ddde06-d971-459e-817e-8b4fc607c7f7,206.225.232.87,Tablet,Firefox,macOS,http://edwards.com/,http://www.sanchez.biz/,3.76,5,104,3,Bottom,2,444,Suspicious,0,0,0.58,0
6a49eff1-5248-4ccd-948f-7ebd9ad926d3,11-01-2025 18:31,c6983a1e-0dbe-40af-b716-ecd21c39b306,159.20.234.27,Mobile,Edge,Linux,https://davis.net/,https://www.west-jones.com/,1.99,14,139,23,Bottom,9,197,Good,0,0,0.19,0
c87f7cc7-2828-4455-b7cb-b1d787283929,07-11-2024 10:15,7407e343-b80c-4db0-b436-731f7916c267,2.219.171.83,Mobile,Safari,Windows,https://www.joseph.info/,https://gonzales.com/,1.34,41,201,12,Side,9,363,Suspicious,0,1,0.55,0
33877edc-3dce-48ab-b3b2-243d4742a80e,05-09-2024 23:49,5a41513f-1532-4a32-b00f-ea53c6ca5ee5,77.247.151.99,Tablet,Chrome,Windows,https://www.williams-woods.com/,http://oliver-cannon.com/,4.41,30,343,20,Side,3,410,Good,1,0,0.65,0
b01b158b-10dc-4c0f-99d2-cb692f22118c,02-04-2024 08:29,1b51449a-be5c-4299-8c2e-f7d341861eb9,159.138.238.224,Mobile,Firefox,Android,http://ali.biz/,http://austin.com/,3.73,85,23,32,Bottom,5,574,Good,0,0,0.33,0
0d8515e7-fd2d-48f7-a680-9c122d043706,21-07-2024 09:56,5941adcb-c673-4ee7-97bf-ffc130cd3c19,34.223.162.179,Tablet,Firefox,iOS,http://russo-moss.com/,https://www.brown.com/,0.7,52,372,19,Side,5,394,Suspicious,0,0,0.32,0
3a24ca1b-4e6a-4f6e-b713-a867cc331d65,10-09-2024 16:57,e4817d54-1b42-4e0c-870b-ae369042331b,129.211.193.109,Tablet,Firefox,Linux,http://www.king.com/,http://www.wilson-brown.net/,3.14,5,434,4,Side,2,509,Suspicious,0,1,0.06,0
37f6f6c4-0fda-4b5c-9231-8eb8fe770c3a,13-07-2024 09:32,1bb3da91-f379-4b3f-b787-1374f25bcec6,207.169.61.69,Desktop,Edge,Android,https://www.young.com/,https://foster.info/,0.21,32,421,23,Side,2,566,Good,0,0,0.96,1
