click_id,timestamp,user_id,ip_address,device_type,browser,operating_system,referrer_url,page_url,click_duration,scroll_depth,mouse_movement,keystrokes_detected,ad_position,click_frequency,time_since_last_click,device_ip_reputation,VPN_usage,proxy_usage,bot_likelihood_score
6ded03cb-8d07-41de-ab8d-6a7c6b101d44,04/16/2026 03:50,910478d9-4101-4f54-98c5-6efd4f82ec20,77.98.35.20,Mobile,Safari,Linux,https://www.mysite.io/,https://www.demo.net/,4.89,77,463,29,Side,7,129,Good,0,0,0.41
e430bf1d-cb81-488d-804b-5b1dd7ad1d23,03/13/2026 08:21,0dcf3638-6b52-4d27-bb63-37a91ed4022c,89.229.92.70,Mobile,Safari,iOS,https://www.demo.net/,https://www.mysite.io/,3.53,43,289,34,Bottom,8,471,Suspicious,1,0,0.09
bd2abe70-f2d3-4af0-a9b2-521a57937395,03/26/2026 17:22,fc2a8369-36e9-43c8-a862-42a0da0b523b,49.61.159.123,Desktop,Edge,macOS,https://www.demo.net/,https://www.mysite.io/,3.95,99,486,11,Side,10,179,Good,1,0,0.53
c5206b1b-de8c-4202-8f72-b90620691c77,04/03/2026 23:58,bea6b0f2-5e5b-4458-8397-cff283db1e0c,61.231.229.213,Desktop,Firefox,Linux,https://www.example.com/,https://www.demo.net/,7.84,73,476,27,Top,4,466,Good,1,0,0.09
50f4a096-2e00-4a48-8550-97f726c58a58,04/03/2026 18:47,f208398d-480a-42c1-918e-8b1691ebd50c,94.153.231.245,Tablet,Edge,iOS,https://www.demo.net/,https://www.example.com/,6.38,44,227,2,Top,1,394,Suspicious,1,0,0.82
9abb8bf8-3e0f-4772-8b0a-57c4bda07a88,03/12/2026 22:43,ddb3e836-e071-4a8a-b0ce-296e078cb7c0,23.22.3.239,Tablet,Chrome,iOS,https://www.testsite.org/,https://www.testsite.org/,8.72,66,135,40,Bottom,1,452,Good,0,1,0.77
18bb6619-0b4a-41cf-9886-467c0ffb1318,03/21/2026 23:10,15d62c82-40da-4616-b1bc-9f54c3ac70c7,50.44.183.237,Mobile,Opera,iOS,https://www.mysite.io/,https://www.example.com/,8.58,39,362,44,Side,9,417,Good,0,0,0.76
08d21262-9dab-4b70-b17f-f30316210e72,02/18/2026 07:20,9f635d28-6900-401d-9b77-5f51425e4477,240.113.119.246,Mobile,Firefox,Windows,https://www.example.com/,https://www.testsite.org/,4.28,74,492,38,Bottom,1,486,Suspicious,1,0,0.68
3ed858b9-10fa-4aef-9110-4682eefbb74e,02/24/2026 20:35,b5ac8be7-217b-4377-8dec-044c8aae29ab,196.79.108.224,Tablet,Chrome,iOS,https://www.mysite.io/,https://www.example.com/,5.82,35,36,46,Bottom,6,206,Good,0,0,0.38
51722c2d-06b5-4cda-b1fe-072940c3fe57,02/12/2026 14:07,e1fa9447-033c-4a5b-ad8c-86f0b06eafe8,129.193.186.218,Desktop,Firefox,iOS,https://www.mysite.io/,https://www.testsite.org/,8.28,60,414,33,Top,6,333,Suspicious,0,1,0.04
37c157ae-ad8e-4933-89d7-9837e9e15e84,03/08/2026 01:29,ea5ea43b-e5ca-476a-a4da-6daeb234fe72,163.79.111.33,Desktop,Firefox,Windows,https://www.testsite.org/,https://www.demo.net/,5.87,38,314,7,Bottom,3,37,Suspicious,1,1,0.74
ab7d4e0a-9353-4d7a-9f0c-db708237251a,03/15/2026 13:00,19729d0a-1de4-4a3a-bff1-f67bd507f754,199.7.246.19,Desktop,Edge,macOS,https://www.example.com/,https://www.example.com/,5.23,39,83,22,Bottom,4,212,Suspicious,1,1,0.66
a058db2d-4b5e-42ac-a38d-64e3b6030ef0,02/24/2026 17:27,e2c231ba-b670-48aa-b061-3d80ebf34223,190.202.222.116,Mobile,Edge,Android,https://www.testsite.org/,https://www.testsite.org/,6.92,24,220,20,Bottom,8,109,Good,0,0,0.96
af7dcf68-2653-4ff8-8bac-4c306c9eb147,03/06/2026 21:03,4a1e1e60-d812-415b-8649-f9c746c3b947,183.255.111.226,Desktop,Opera,Windows,https://www.mysite.io/,https://www.mysite.io/,3.36,74,90,7,Top,5,68,Suspicious,0,0,0.57
4a5990c6-d04b-4743-b084-875ad622bc42,02/17/2026 14:18,2f6acaa7-66b3-4c08-8b50-ba7bcb68224e,88.14.100.7,Mobile,Safari,macOS,https://www.demo.net/,https://www.testsite.org/,9.11,23,251,40,Bottom,2,169,Good,1,0,0.13
097c9313-7622-4326-bb00-9783dcc6bba3,02/21/2026 19:27,529e97c3-187d-4616-abd6-8b567ba6ee62,103.19.21.59,Desktop,Chrome,iOS,https://www.testsite.org/,https://www.demo.net/,3.23,76,96,18,Bottom,8,300,Good,0,0,0.07
b25c3b7c-a343-49f5-b581-a579b0b760e5,03/08/2026 17:48,60be5a9b-e9e7-41ac-86b2-7ef14f7a00d6,194.226.167.131,Tablet,Firefox,iOS,https://www.demo.net/,https://www.example.com/,8.59,73,93,16,Side,1,414,Suspicious,0,1,0.91
7a1dbf45-69ec-460d-bfb0-5c357104b007,04/07/2026 06:21,9a1674f8-f30f-4f23-94f9-e40679056cb4,110.113.233.6,Desktop,Firefox,iOS,https://www.mysite.io/,https://www.mysite.io/,2.2,100,44,13,Top,1,275,Suspicious,1,0,0.75
9fdcf2bd-eed3-4cdb-89a3-3ffe69680a80,03/02/2026 11:38,0e16715f-0cf2-453f-a443-c2b9f4b5d110,76.67.189.25,Desktop,Opera,Windows,https://www.demo.net/,https://www.testsite.org/,4.02,63,347,18,Bottom,3,461,Suspicious,0,0,0.95
de5219b3-b71b-4d0d-9935-2887226ee167,02/12/2026 13:51,f6670aeb-b2a2-407a-b926-9fd37d4c5c53,20.128.207.136,Mobile,Opera,Linux,https://www.example.com/,https://www.demo.net/,0.34,100,386,4,Bottom,8,416,Good,0,1,0.05
1e0ee581-2912-4015-95b4-9307538b10e9,02/13/2026 04:04,acca3652-be74-419b-82d5-acda7ec23f21,170.151.67.47,Tablet,Safari,Android,https://www.testsite.org/,https://www.example.com/,3.01,12,175,23,Bottom,10,403,Suspicious,0,0,0.85
02bbc93a-cad9-47af-ba80-bc80c520b180,04/15/2026 07:31,04511caf-6b2a-4a7c-93b9-ea93d5135f77,26.99.161.7,Desktop,Safari,Windows,https://www.demo.net/,https://www.mysite.io/,5.93,58,155,9,Side,7,468,Suspicious,0,1,0.85
5444a3be-f8ed-4d53-ba32-2ea8092a2505,02/23/2026 06:17,7944436e-fc99-4ce0-b3a4-f06cd8e14bff,192.115.20.195,Mobile,Firefox,Android,https://www.mysite.io/,https://www.demo.net/,8.83,92,138,11,Bottom,9,317,Good,0,1,0.58
7ba5b7dc-73ed-4c12-85df-941de0565b48,03/08/2026 12:57,5d5a7e7e-b1e2-44f7-9ae1-323ea9188094,137.15.118.106,Desktop,Chrome,macOS,https://www.testsite.org/,https://www.example.com/,8.15,37,340,19,Top,9,119,Good,1,0,0.25
02a4e712-722d-477a-bafd-46662c09d52f,03/20/2026 10:33,32c3eec8-a60d-43b3-ad15-138741a94257,96.185.168.131,Tablet,Firefox,Linux,https://www.testsite.org/,https://www.mysite.io/,9.38,23,255,37,Bottom,2,127,Suspicious,1,1,0.37
c061555e-4ed2-416d-a9a3-3cef37715bfd,02/07/2026 08:46,2ceb7cae-62cd-4ed8-9f84-22aa5d913012,227.118.225.99,Desktop,Opera,macOS,https://www.demo.net/,https://www.testsite.org/,1.55,84,450,17,Bottom,5,137,Suspicious,1,1,0.68
74d3efd2-1025-4440-a557-7fa20e41a386,03/23/2026 05:30,51124c97-ec51-4a56-b4b1-352583521344,244.42.249.122,Mobile,Firefox,iOS,https://www.demo.net/,https://www.example.com/,7.45,52,262,23,Side,4,129,Suspicious,0,0,0.04
1c000052-0089-48f5-b419-db6d5ae96c42,04/13/2026 12:00,2e4bd66b-dfb8-4be3-87eb-48451ef6942c,38.82.131.129,Mobile,Chrome,Windows,https://www.example.com/,https://www.testsite.org/,5.24,21,499,6,Side,9,253,Suspicious,1,0,0.17
cbd97f83-475a-4a35-baf1-54cab31dffcc,03/17/2026 13:43,d8939422-a96f-4272-b937-2272e7360334,171.46.217.180,Tablet,Opera,Android,https://www.testsite.org/,https://www.demo.net/,4.22,45,334,32,Bottom,10,500,Suspicious,0,1,0.56
ed814680-186c-4e1f-a81b-b0036e3e8c9c,03/06/2026 13:42,1a651862-e1a6-44c9-a042-ba84f73cbe8f,111.48.234.169,Tablet,Edge,macOS,https://www.example.com/,https://www.demo.net/,3.37,53,65,32,Bottom,2,229,Suspicious,0,1,0.28
de08e581-3ed9-4457-bc51-fc4c26d66300,02/20/2026 05:37,251730f3-befa-4f7b-95a2-cf309c17d837,230.11.28.232,Mobile,Safari,macOS,https://www.example.com/,https://www.testsite.org/,9.98,45,2,42,Side,8,293,Suspicious,0,1,0.17
f02bc9a5-1bbf-4c5e-9fbf-cefe3f540ffb,04/15/2026 10:31,ed1cc1e9-a17e-4e63-901a-62f605d06a62,249.250.169.26,Mobile,Opera,macOS,https://www.example.com/,https://www.mysite.io/,1.92,71,111,6,Bottom,8,16,Suspicious,1,1,0.61
0f3372e2-0f60-47ed-84d1-bd750d42737b,03/30/2026 03:59,12878f70-03aa-40d7-b365-5738ba157a8d,187.85.130.242,Tablet,Opera,macOS,https://www.testsite.org/,https://www.mysite.io/,0.76,46,176,4,Side,8,164,Good,1,0,0.76
9784aabb-d341-4b02-8e78-faa1287d2640,02/22/2026 08:44,e718f7c4-8ca4-4f78-9762-a600be96874a,149.87.17.223,Mobile,Safari,Android,https://www.example.com/,https://www.testsite.org/,0.18,8,280,35,Top,8,313,Suspicious,1,1,0.05
9eb73f4f-3eab-486f-86d9-a71caef010c8,04/05/2026 07:47,a66c1ef4-b463-4f51-a5aa-cfd6e16a607f,49.196.11.126,Tablet,Opera,Android,https://www.demo.net/,https://www.mysite.io/,5.17,31,175,48,Side,1,226,Good,0,1,0.73
df7d2274-5cd3-4041-adbd-9ced128a0efc,03/19/2026 02:17,4c954d9f-eb12-4cd5-8e42-7ad9352e86ab,178.166.16.27,Mobile,Firefox,Windows,https://www.example.com/,https://www.example.com/,9.61,98,128,2,Bottom,5,16,Suspicious,1,0,0.95
6cc2f031-23c0-40fd-8c1d-a6dace5fd3dc,02/11/2026 06:34,53b3a09d-e86c-4232-aa6a-1e1f519e23f5,99.207.10.73,Tablet,Chrome,Windows,https://www.example.com/,https://www.example.com/,3.4,79,198,15,Top,4,218,Good,0,1,0.59
1f6d68e5-c1d3-4923-8938-1b15bd3bda3e,02/20/2026 20:09,8a25eef6-85c4-4482-bcd8-15b9ab979471,214.17.143.93,Desktop,Opera,iOS,https://www.example.com/,https://www.mysite.io/,0.41,37,209,11,Top,5,27,Suspicious,0,0,0.49
992e1af2-ff15-4aef-9155-1da2e300400c,04/05/2026 20:45,765d94a9-0d00-4cbb-950f-8258bebb7e88,241.88.149.15,Desktop,Firefox,Linux,https://www.example.com/,https://www.demo.net/,3.7,3,41,41,Top,9,442,Good,0,1,0.22
cfe9126b-d0b6-4fe2-8b9a-9f8a8aa1aad7,03/10/2026 21:40,a38677e5-0725-4e23-9cbe-7dca191e4b27,245.24.233.224,Tablet,Safari,Android,https://www.testsite.org/,https://www.demo.net/,1.94,4,43,8,Bottom,3,269,Good,1,1,0.32
f4a5f72d-58e2-4d71-873e-921038987b2e,03/23/2026 21:01,72adce2a-0867-44e7-9994-3fdf83a035ad,24.173.57.168,Mobile,Edge,Linux,https://www.example.com/,https://www.example.com/,4.24,50,99,50,Bottom,3,224,Suspicious,1,0,0.01
e28fc5ca-73ff-4697-b00a-46cf317dfdce,02/20/2026 15:06,56682319-58d5-4b7f-9f29-303e667f7d6e,151.237.103.114,Tablet,Edge,macOS,https://www.mysite.io/,https://www.testsite.org/,7.24,13,195,24,Side,2,421,Good,1,0,0.02
13969f2b-285e-420b-8900-0a73ee5d3f39,03/23/2026 16:31,8da64864-bd52-40e2-9190-985583f0633d,56.240.178.11,Tablet,Firefox,Linux,https://www.mysite.io/,https://www.mysite.io/,6.18,8,111,16,Top,10,102,Suspicious,1,0,0.92
05c3d7f4-4a93-4254-aa05-d29c8e2ffdd3,02/20/2026 11:59,a7f5b586-8137-4133-a0e5-7c1a06cc6c70,248.141.141.172,Tablet,Firefox,Linux,https://www.mysite.io/,https://www.demo.net/,0.68,87,11,5,Bottom,2,380,Suspicious,1,0,0.82
e9b3599b-9fdb-4332-a171-0a04294d1229,03/13/2026 13:11,35634a06-4dde-460d-9025-6270b4bf10b8,129.226.115.98,Desktop,Chrome,Windows,https://www.testsite.org/,https://www.mysite.io/,5.99,62,491,38,Bottom,4,420,Good,1,0,0.65
3d8511b8-c948-4d48-bd9b-c6c9ace4c6bc,03/10/2026 04:29,3670c0e7-8c51-4726-a166-e7c2cd165952,202.231.235.31,Mobile,Firefox,Android,https://www.mysite.io/,https://www.demo.net/,7.34,46,109,27,Bottom,8,18,Suspicious,0,0,0.45
a7e1503e-3cae-4071-89fc-25c133c15e9d,02/28/2026 21:31,8eec983b-b410-496a-a8fe-7210060f877d,99.227.62.229,Desktop,Firefox,Linux,https://www.testsite.org/,https://www.mysite.io/,6.57,25,403,2,Side,9,122,Suspicious,1,1,0.55
c0c36486-f414-4da5-8c70-5c6b9c0e47e3,02/18/2026 22:13,8cfa7e1a-42a8-47f1-9ca5-fb6691a9939b,247.64.208.249,Mobile,Firefox,Windows,https://www.testsite.org/,https://www.testsite.org/,0.98,1,265,21,Top,4,162,Good,1,1,0.35
7a7115f0-4e69-4631-9b96-2fe65ca00d63,04/16/2026 00:38,69c250f3-e385-42f5-9fd3-990e1da01fb2,37.112.143.27,Desktop,Edge,Android,https://www.testsite.org/,https://www.mysite.io/,8.78,65,94,23,Top,6,131,Suspicious,1,1,0.09
1fad2e49-7f71-4182-af0b-24c45349aac8,03/09/2026 20:33,1cd40f1e-63ac-43d6-b74c-e6303ddf7dcf,108.59.45.100,Mobile,Opera,iOS,https://www.demo.net/,https://www.demo.net/,2.93,73,439,50,Top,9,332,Suspicious,0,0,0.91
4cf83f72-0b11-42c7-998f-1e14d3f249f6,02/17/2026 02:23,227e9b15-bc68-45b3-b557-d1ed0b8f7eab,154.176.123.100,Mobile,Chrome,iOS,https://www.example.com/,https://www.example.com/,7.1,74,263,47,Top,9,225,Suspicious,0,1,0.75
1a0c1575-ddaf-4791-8da6-15479f5520e0,04/05/2026 09:11,9b0984e8-d9fc-4a72-bcdc-7905d0aa7c07,27.176.179.94,Mobile,Safari,macOS,https://www.example.com/,https://www.demo.net/,7.79,62,116,35,Top,2,228,Good,0,1,0.92
c5f56691-7c5e-4751-b0ea-10e09e458dec,03/14/2026 00:38,5ff8c14f-1b3d-434b-a487-667b76054a09,250.129.22.207,Tablet,Edge,Linux,https://www.demo.net/,https://www.testsite.org/,6.69,68,374,15,Top,9,401,Good,0,1,0.48
3bfc84af-6c02-4a9e-b65f-05a4adadd120,04/09/2026 16:58,92539d58-24ee-48e6-bbc8-d126616a7865,120.202.125.77,Tablet,Firefox,macOS,https://www.testsite.org/,https://www.example.com/,6.42,19,363,12,Top,2,475,Suspicious,1,0,0.35
96fbf819-47b3-437c-a6e8-f28315f76417,03/04/2026 15:27,b1ccfe63-21e1-4963-8853-4010b4983126,11.206.123.118,Mobile,Safari,macOS,https://www.example.com/,https://www.testsite.org/,9.09,59,122,7,Top,1,468,Suspicious,0,0,0.87
c304167e-0933-4340-9a7b-4b2073e8bf30,02/21/2026 03:39,e210a807-9fd8-43bc-86f4-605ba4d7d01b,8.222.228.242,Mobile,Edge,Linux,https://www.example.com/,https://www.example.com/,1.32,17,447,42,Bottom,4,486,Suspicious,0,0,0.8
65d4e1e2-a0e4-42fc-aa07-519f3b3f8b18,04/04/2026 01:15,c2d255ef-9522-4eb2-8c66-04d314f7d538,204.80.134.244,Mobile,Edge,macOS,https://www.mysite.io/,https://www.example.com/,4.07,64,244,34,Top,4,7,Good,1,1,0.79
